Distancia em cm,Distancia em polegadas
30.17,11.88
30.45,11.99
30.46,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.46,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.55,12.03
30.46,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.88,12.16
30.57,12.04
30.45,11.99
30.55,12.03
30.46,11.99
30.57,12.04
30.45,11.99
30.50,12.01
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.46,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.46,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.41,11.97
30.45,11.99
30.45,11.99
30.45,11.99
30.57,12.04
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.46,11.99
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.57,12.04
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.45,11.99
30.46,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.45,11.99
30.55,12.03
30.45,11.99
30.55,12.03
30.46,11.99
30.55,12.03
